epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4053.99,0.77302,0.48248,1.04222,0.99948,0.99727,0.99499,0.92956,0.4516,0.24832,0.85926,0.006535,0.006535,0.006535
44,4146.73,0.78788,0.49976,1.0464,0.9989,0.9974,0.995,0.93352,0.45433,0.24886,0.85566,0.0064525,0.0064525,0.0064525
45,4238.85,0.76141,0.48427,1.0313,0.9987,0.9974,0.995,0.93416,0.44428,0.24358,0.84974,0.00637,0.00637,0.00637
46,4330.8,0.76482,0.48382,1.03935,0.9971,0.99635,0.99494,0.93436,0.44608,0.24309,0.84676,0.0062875,0.0062875,0.0062875
47,4423.38,0.77481,0.48731,1.04159,0.99827,0.99687,0.99499,0.93499,0.43827,0.24083,0.84926,0.006205,0.006205,0.006205
48,4515.77,0.7559,0.47328,1.03295,0.99932,0.99792,0.99495,0.9385,0.42801,0.2361,0.84281,0.0061225,0.0061225,0.0061225
49,4607.37,0.76119,0.47272,1.02852,0.9974,0.99849,0.995,0.93751,0.42825,0.23538,0.8453,0.00604,0.00604,0.00604
50,4699.84,0.75271,0.474,1.03105,0.99832,0.99844,0.995,0.93414,0.42865,0.23415,0.84324,0.0059575,0.0059575,0.0059575
51,4792.43,0.761,0.47345,1.03917,0.99855,0.99687,0.995,0.93766,0.42816,0.23147,0.84402,0.005875,0.005875,0.005875
52,4885.44,0.74687,0.47115,1.03033,0.99878,0.9974,0.995,0.93488,0.43241,0.23035,0.84606,0.0057925,0.0057925,0.0057925
53,4977.86,0.75522,0.47106,1.03123,0.99975,0.99792,0.995,0.93684,0.42715,0.23002,0.84539,0.00571,0.00571,0.00571
54,5070.63,0.76283,0.46416,1.02735,0.99883,0.99792,0.995,0.93999,0.42369,0.22741,0.84216,0.0056275,0.0056275,0.0056275
55,5165.8,0.74614,0.47398,1.02614,1,0.99827,0.995,0.94354,0.41339,0.22522,0.83764,0.005545,0.005545,0.005545
56,5260.2,0.73213,0.45857,1.01994,0.99948,0.99896,0.995,0.94165,0.4176,0.22247,0.84004,0.0054625,0.0054625,0.0054625
57,5353.05,0.7284,0.45992,1.01526,0.99971,0.99792,0.995,0.94383,0.41466,0.22158,0.8372,0.00538,0.00538,0.00538
58,5446.27,0.73515,0.46116,1.01581,0.99838,0.9974,0.995,0.9437,0.40919,0.22163,0.83709,0.0052975,0.0052975,0.0052975
59,5538.74,0.7385,0.46547,1.0238,0.99911,0.99896,0.995,0.94274,0.41342,0.2223,0.83752,0.005215,0.005215,0.005215
60,5634.41,0.72436,0.45017,1.01435,0.99959,0.99896,0.995,0.9469,0.40761,0.21795,0.83506,0.0051325,0.0051325,0.0051325
61,5727.95,0.72998,0.45662,1.02252,0.99884,0.99896,0.995,0.94625,0.40207,0.21335,0.83325,0.00505,0.00505,0.00505
